fips,region,heat_exposure_rank,wildfire_exposure_rank,asset_density_rank,composite_risk_score
48395,ERCOT,0.8421052631578947,0.0,0.5714285714285714,0.5082706766917293
48397,ERCOT,0.6842105263157895,0.0,0.849624060150376,0.5285714285714286
48401,ERCOT,0.7894736842105263,0.0,0.6842105263157895,0.5210526315789474
48409,ERCOT,0.8195488721804511,0.0,0.6466165413533834,0.5218045112781955
48415,ERCOT,0.18796992481203006,0.0,0.7819548872180451,0.30977443609022554
48423,ERCOT,0.7443609022556391,0.0,0.706766917293233,0.5097744360902255
48429,ERCOT,0.18045112781954886,0.0,0.24812030075187969,0.14661654135338345
48435,ERCOT,0.16541353383458646,0.0,0.12030075187969924,0.10225563909774435
48439,ERCOT,0.45112781954887216,0.0,0.9849624060150376,0.4759398496240601
48441,ERCOT,0.09022556390977443,0.0,0.9022556390977443,0.3067669172932331
48443,ERCOT,0.3007518796992481,0.0,0.007518796992481203,0.1225563909774436
48449,ERCOT,0.7593984962406015,0.0,0.8796992481203008,0.5676691729323309
48451,ERCOT,0.06766917293233082,0.0,0.6390977443609023,0.218796992481203
48453,ERCOT,0.556390977443609,0.0,0.9548872180451128,0.5090225563909774
48459,ERCOT,0.9398496240601504,0.0,0.5488721804511278,0.5406015037593985
48463,ERCOT,0.5864661654135338,0.0,0.22556390977443608,0.30225563909774433
48465,ERCOT,0.17293233082706766,0.0,0.11278195488721804,0.10300751879699248
48469,ERCOT,0.44360902255639095,0.0,0.631578947368421,0.3669172932330827
48471,ERCOT,0.7142857142857143,0.0,0.3007518796992481,0.3759398496240602
48473,ERCOT,0.8646616541353384,0.0,0.46616541353383456,0.48571428571428577
48475,ERCOT,0.21052631578947367,0.0,0.5939849624060151,0.262406015037594
48477,ERCOT,0.8796992481203008,0.0,0.43609022556390975,0.4827067669172933
48479,ERCOT,0.19548872180451127,0.0,0.23308270676691728,0.1481203007518797
48481,ERCOT,0.8345864661654135,0.0,0.38345864661654133,0.4488721804511278
48485,ERCOT,0.20300751879699247,0.0,0.9323308270676691,0.3609022556390977
48487,ERCOT,0.05263157894736842,0.0,0.5112781954887218,0.17443609022556392
48491,ERCOT,0.5789473684210527,0.0,0.6541353383458647,0.4278195488721805
